A,B,DIST,FACTYPE,LINKGRP,CSPEEDAM,CSPEEDMD,CSPEEDPM,CSPEEDNT,NOTE
101487.0,300293.0,0.138549821916676,65,22,15,15,15,15,BUS
300293.0,101487.0,0.13854982191667597,65,22,15,15,15,15,BUS
300294.0,300295.0,0.16416693564973994,65,22,15,15,15,15,BUS
300295.0,300294.0,0.16416693564973994,65,22,15,15,15,15,BUS
300295.0,102459.0,0.15037952592547266,65,22,15,15,15,15,BUS
102459.0,300295.0,0.15037952592547266,65,22,15,15,15,15,BUS
106851.0,104019.0,0.34024099002388103,65,22,15,15,15,15,BUS
104019.0,106851.0,0.34024099002388103,65,22,15,15,15,15,BUS
300293.0,300296.0,0.11251356054671494,65,22,15,15,15,15,BUS
300296.0,300293.0,0.11251356054671491,65,22,15,15,15,15,BUS
101190.0,300297.0,0.04982488495473047,65,22,15,15,15,15,BUS
300297.0,101190.0,0.04982488495473047,65,22,15,15,15,15,BUS
300297.0,300298.0,0.18717985374605747,65,22,15,15,15,15,BUS
300298.0,300297.0,0.18717985374605753,65,22,15,15,15,15,BUS
200013.0,300299.0,0.1432652117062324,65,22,15,15,15,15,BUS
300299.0,200013.0,0.1432652117062324,65,22,15,15,15,15,BUS
300300.0,300301.0,0.18483672668360296,65,22,15,15,15,15,BUS
300301.0,300300.0,0.18483672668360293,65,22,15,15,15,15,BUS
300301.0,300302.0,0.175399751437571,65,22,15,15,15,15,BUS
300302.0,300301.0,0.175399751437571,65,22,15,15,15,15,BUS
300302.0,100810.0,0.20651624200775234,65,22,15,15,15,15,BUS
100810.0,300302.0,0.20651624200775243,65,22,15,15,15,15,BUS
300303.0,103565.0,0.10903869035089649,65,22,15,15,15,15,BUS
103565.0,300303.0,0.10903869035089649,65,22,15,15,15,15,BUS
103497.0,300304.0,0.19986144925923513,65,22,15,15,15,15,BUS
300304.0,103497.0,0.19986144925923516,65,22,15,15,15,15,BUS
300304.0,300305.0,0.37359894559537926,65,22,15,15,15,15,BUS
300305.0,300304.0,0.37359894559537915,65,22,15,15,15,15,BUS
300305.0,300306.0,0.10262562807684135,65,22,15,15,15,15,BUS
300306.0,300305.0,0.10262562807684135,65,22,15,15,15,15,BUS
300306.0,107064.0,0.08096911573468057,65,22,15,15,15,15,BUS
107064.0,300306.0,0.08096911573468057,65,22,15,15,15,15,BUS
100086.0,106726.0,0.1877527541069216,65,22,15,15,15,15,BUS
106726.0,100086.0,0.18775275410692158,65,22,15,15,15,15,BUS
101788.0,300307.0,0.1002073204989106,65,22,15,15,15,15,BUS
300307.0,101788.0,0.10020732049891058,65,22,15,15,15,15,BUS
300307.0,300308.0,0.16463949161395358,65,22,15,15,15,15,BUS
300308.0,300307.0,0.16463949161395358,65,22,15,15,15,15,BUS
300308.0,300309.0,0.08166361871915319,65,22,15,15,15,15,BUS
300309.0,300308.0,0.08166361871915319,65,22,15,15,15,15,BUS
300309.0,300310.0,0.15165552519898887,65,22,15,15,15,15,BUS
300310.0,300309.0,0.15165552519898892,65,22,15,15,15,15,BUS
300310.0,100883.0,0.13094164901340882,65,22,15,15,15,15,BUS
100883.0,300310.0,0.13094164901340882,65,22,15,15,15,15,BUS
102243.0,300311.0,0.18030156470412434,65,22,15,15,15,15,BUS
300311.0,102243.0,0.1803015647041243,65,22,15,15,15,15,BUS
300312.0,103551.0,0.14226608367373433,65,22,15,15,15,15,BUS
103551.0,300312.0,0.14226608367373433,65,22,15,15,15,15,BUS
101211.0,104469.0,0.08184903371328238,65,22,15,15,15,15,BUS
104469.0,101211.0,0.08184903371328238,65,22,15,15,15,15,BUS
300306.0,300313.0,0.1785502848116692,65,22,15,15,15,15,BUS
300313.0,300306.0,0.17855028481166918,65,22,15,15,15,15,BUS
103549.0,300314.0,0.12707981391248055,65,22,15,15,15,15,BUS
300314.0,103549.0,0.12707981391248055,65,22,15,15,15,15,BUS
100656.0,300315.0,0.10045975361048005,65,22,15,15,15,15,BUS
300315.0,100656.0,0.10045975361048004,65,22,15,15,15,15,BUS
300315.0,300316.0,0.11836459949655777,65,22,15,15,15,15,BUS
300316.0,300315.0,0.11836459949655777,65,22,15,15,15,15,BUS
300316.0,300317.0,0.15116091851709554,65,22,15,15,15,15,BUS
300317.0,300316.0,0.15116091851709557,65,22,15,15,15,15,BUS
300317.0,300318.0,0.22528775166210943,65,22,15,15,15,15,BUS
300318.0,300317.0,0.22528775166210946,65,22,15,15,15,15,BUS
300318.0,300319.0,0.14358203496051167,65,22,15,15,15,15,BUS
300319.0,300318.0,0.1435820349605117,65,22,15,15,15,15,BUS
300319.0,100655.0,0.247055290459611,65,22,15,15,15,15,BUS
100655.0,300319.0,0.24705529045961108,65,22,15,15,15,15,BUS
100654.0,300320.0,0.15773287277084094,65,22,15,15,15,15,BUS
300320.0,100654.0,0.15773287277084092,65,22,15,15,15,15,BUS
300320.0,100428.0,0.25932153983370915,65,22,15,15,15,15,BUS
100428.0,300320.0,0.25932153983370915,65,22,15,15,15,15,BUS
100157.0,100144.0,0.16589644462310252,65,22,15,15,15,15,BUS
100144.0,100157.0,0.16589644462310255,65,22,15,15,15,15,BUS
100708.0,300321.0,0.05556898732435748,65,22,15,15,15,15,BUS
300321.0,100708.0,0.05556898732435748,65,22,15,15,15,15,BUS
300321.0,300322.0,0.06340893398061265,65,22,15,15,15,15,BUS
300322.0,300321.0,0.06340893398061266,65,22,15,15,15,15,BUS
300322.0,300323.0,0.09592225175846113,65,22,15,15,15,15,BUS
300323.0,300322.0,0.09592225175846116,65,22,15,15,15,15,BUS
300323.0,300324.0,0.06796473172451119,65,22,15,15,15,15,BUS
300324.0,300323.0,0.06796473172451119,65,22,15,15,15,15,BUS
300324.0,300325.0,0.08800574596480742,65,22,15,15,15,15,BUS
300325.0,300324.0,0.08800574596480742,65,22,15,15,15,15,BUS
100816.0,300326.0,0.2992412678932893,65,22,15,15,15,15,BUS
300326.0,100816.0,0.2992412678932893,65,22,15,15,15,15,BUS
104232.0,300327.0,0.19956919288048885,65,22,15,15,15,15,BUS
300327.0,104232.0,0.1995691928804888,65,22,15,15,15,15,BUS
300327.0,300328.0,0.028746879352361743,65,22,15,15,15,15,BUS
300328.0,300327.0,0.028746879352361743,65,22,15,15,15,15,BUS
105433.0,300329.0,0.0662984640267965,65,22,15,15,15,15,BUS
300329.0,105433.0,0.0662984640267965,65,22,15,15,15,15,BUS
300329.0,300330.0,0.14934237125199346,65,22,15,15,15,15,BUS
300330.0,300329.0,0.14934237125199348,65,22,15,15,15,15,BUS
103343.0,300331.0,0.2228433356495439,65,22,15,15,15,15,BUS
300331.0,103343.0,0.22284333564954395,65,22,15,15,15,15,BUS
104077.0,300332.0,0.15833416906660788,65,22,15,15,15,15,BUS
300332.0,104077.0,0.15833416906660788,65,22,15,15,15,15,BUS
300332.0,300333.0,0.09666571422873652,65,22,15,15,15,15,BUS
300333.0,300332.0,0.0966657142287365,65,22,15,15,15,15,BUS
300333.0,300334.0,0.10140877267891026,65,22,15,15,15,15,BUS
300334.0,300333.0,0.10140877267891023,65,22,15,15,15,15,BUS
300334.0,300335.0,0.15185681263905268,65,22,15,15,15,15,BUS
300335.0,300334.0,0.1518568126390527,65,22,15,15,15,15,BUS
300335.0,300336.0,0.11584951663098408,65,22,15,15,15,15,BUS
300336.0,300335.0,0.11584951663098408,65,22,15,15,15,15,BUS
300336.0,300337.0,0.08847095337518349,65,22,15,15,15,15,BUS
300337.0,300336.0,0.0884709533751835,65,22,15,15,15,15,BUS
300337.0,300338.0,0.36274105755287095,65,22,15,15,15,15,BUS
300338.0,300337.0,0.36274105755287084,65,22,15,15,15,15,BUS
101973.0,300339.0,0.3178278096155896,65,22,15,15,15,15,BUS
300339.0,101973.0,0.31782780961558943,65,22,15,15,15,15,BUS
103192.0,300340.0,0.23574942595458004,65,22,15,15,15,15,BUS
300340.0,103192.0,0.23574942595458004,65,22,15,15,15,15,BUS
300340.0,300341.0,0.1320252847584985,65,22,15,15,15,15,BUS
300341.0,300340.0,0.1320252847584985,65,22,15,15,15,15,BUS
300341.0,300342.0,0.11409921688272419,65,22,15,15,15,15,BUS
300342.0,300341.0,0.11409921688272422,65,22,15,15,15,15,BUS
300342.0,300343.0,0.16386842020028508,65,22,15,15,15,15,BUS
300343.0,300342.0,0.16386842020028505,65,22,15,15,15,15,BUS
300343.0,103196.0,0.13465374377807887,65,22,15,15,15,15,BUS
103196.0,300343.0,0.13465374377807887,65,22,15,15,15,15,BUS
103643.0,300344.0,0.08560332682951018,65,22,15,15,15,15,BUS
300344.0,103643.0,0.08560332682951016,65,22,15,15,15,15,BUS
300344.0,300345.0,0.25419911920748806,65,22,15,15,15,15,BUS
300345.0,300344.0,0.25419911920748806,65,22,15,15,15,15,BUS
300345.0,103640.0,0.16780088845608251,65,22,15,15,15,15,BUS
103640.0,300345.0,0.16780088845608251,65,22,15,15,15,15,BUS
100389.0,300346.0,0.07778162615898822,65,22,15,15,15,15,BUS
300346.0,100389.0,0.07778162615898823,65,22,15,15,15,15,BUS
300346.0,300347.0,0.10359209047016799,65,22,15,15,15,15,BUS
300347.0,300346.0,0.10359209047016799,65,22,15,15,15,15,BUS
300347.0,300348.0,0.13152367351238559,65,22,15,15,15,15,BUS
300348.0,300347.0,0.13152367351238559,65,22,15,15,15,15,BUS
300348.0,300349.0,0.10927097565849539,65,22,15,15,15,15,BUS
300349.0,300348.0,0.10927097565849539,65,22,15,15,15,15,BUS
300349.0,300350.0,0.21093576202568567,65,22,15,15,15,15,BUS
300350.0,300349.0,0.21093576202568567,65,22,15,15,15,15,BUS
300350.0,300351.0,0.1618186320254988,65,22,15,15,15,15,BUS
300351.0,300350.0,0.16181863202549884,65,22,15,15,15,15,BUS
300351.0,100400.0,0.15829624077173288,65,22,15,15,15,15,BUS
100400.0,300351.0,0.1582962407717328,65,22,15,15,15,15,BUS
100416.0,300352.0,0.16529115753171436,65,22,15,15,15,15,BUS
300352.0,100416.0,0.1652911575317144,65,22,15,15,15,15,BUS
300352.0,300353.0,0.16336585781469387,65,22,15,15,15,15,BUS
300353.0,300352.0,0.16336585781469395,65,22,15,15,15,15,BUS
300353.0,300354.0,0.07307917399256965,65,22,15,15,15,15,BUS
300354.0,300353.0,0.07307917399256965,65,22,15,15,15,15,BUS
300354.0,300355.0,0.1274208242153283,65,22,15,15,15,15,BUS
300355.0,300354.0,0.1274208242153283,65,22,15,15,15,15,BUS
300355.0,300356.0,0.05838997535820661,65,22,15,15,15,15,BUS
300356.0,300355.0,0.05838997535820661,65,22,15,15,15,15,BUS
100417.0,300353.0,0.4789509850825608,65,22,15,15,15,15,BUS
300353.0,100417.0,0.47895098508256057,65,22,15,15,15,15,BUS
300357.0,100947.0,0.12984950377733256,65,22,15,15,15,15,BUS
100947.0,300357.0,0.1298495037773326,65,22,15,15,15,15,BUS
100401.0,300351.0,0.2927450022399216,65,22,15,15,15,15,BUS
300351.0,100401.0,0.2927450022399216,65,22,15,15,15,15,BUS
300350.0,300358.0,0.1651263681144997,65,22,15,15,15,15,BUS
300358.0,300350.0,0.1651263681144997,65,22,15,15,15,15,BUS
300349.0,100390.0,0.16946989620638267,65,22,15,15,15,15,BUS
100390.0,300349.0,0.16946989620638261,65,22,15,15,15,15,BUS
104543.0,103700.0,0.24531958534091947,65,22,15,15,15,15,BUS
103700.0,104543.0,0.2453195853409194,65,22,15,15,15,15,BUS
300345.0,300359.0,0.05396596965335677,65,22,15,15,15,15,BUS
300359.0,300345.0,0.05396596965335677,65,22,15,15,15,15,BUS
104242.0,300360.0,0.16736708654743007,65,22,15,15,15,15,BUS
300360.0,104242.0,0.16736708654743007,65,22,15,15,15,15,BUS
103991.0,300361.0,0.1539921763998948,65,22,15,15,15,15,BUS
300361.0,103991.0,0.15399217639989482,65,22,15,15,15,15,BUS
300361.0,300362.0,0.09589324891912888,65,22,15,15,15,15,BUS
300362.0,300361.0,0.09589324891912891,65,22,15,15,15,15,BUS
300362.0,300363.0,0.09595239498683322,65,22,15,15,15,15,BUS
300363.0,300362.0,0.09595239498683322,65,22,15,15,15,15,BUS
300363.0,300364.0,0.10971224034509769,65,22,15,15,15,15,BUS
300364.0,300363.0,0.10971224034509772,65,22,15,15,15,15,BUS
300364.0,300365.0,0.1696570685841166,65,22,15,15,15,15,BUS
300365.0,300364.0,0.16965706858411664,65,22,15,15,15,15,BUS
300365.0,300366.0,0.08713019601890783,65,22,15,15,15,15,BUS
300366.0,300365.0,0.08713019601890783,65,22,15,15,15,15,BUS
300366.0,300367.0,0.13643932289726093,65,22,15,15,15,15,BUS
300367.0,300366.0,0.13643932289726093,65,22,15,15,15,15,BUS
300367.0,300368.0,0.12665798437501863,65,22,15,15,15,15,BUS
300368.0,300367.0,0.12665798437501863,65,22,15,15,15,15,BUS
300368.0,300369.0,0.09738817101848098,65,22,15,15,15,15,BUS
300369.0,300368.0,0.09738817101848098,65,22,15,15,15,15,BUS
300369.0,103984.0,0.27116964841431923,65,22,15,15,15,15,BUS
103984.0,300369.0,0.2711696484143193,65,22,15,15,15,15,BUS
100611.0,300370.0,0.3094599692871325,65,22,15,15,15,15,BUS
300370.0,100611.0,0.3094599692871326,65,22,15,15,15,15,BUS
300370.0,300371.0,0.3224118965261116,65,22,15,15,15,15,BUS
300371.0,300370.0,0.3224118965261114,65,22,15,15,15,15,BUS
100157.0,100104.0,0.34175588217769426,65,22,15,15,15,15,BUS
100104.0,100157.0,0.3417558821776942,65,22,15,15,15,15,BUS
106819.0,101984.0,0.47708028022862087,65,22,15,15,15,15,BUS
101984.0,106819.0,0.4770802802286203,65,22,15,15,15,15,BUS
300372.0,300370.0,0.4422106623309537,65,22,15,15,15,15,BUS
300370.0,300372.0,0.4422106623309539,65,22,15,15,15,15,BUS
100296.0,106449.0,0.1594037493830983,65,22,15,15,15,15,BUS
106449.0,100296.0,0.15940374938309826,65,22,15,15,15,15,BUS
100649.0,300373.0,0.19058261177913066,65,22,15,15,15,15,BUS
300373.0,100649.0,0.19058261177913063,65,22,15,15,15,15,BUS
300373.0,300374.0,0.1707813468117625,65,22,15,15,15,15,BUS
300374.0,300373.0,0.1707813468117625,65,22,15,15,15,15,BUS
300375.0,100649.0,0.19224745111597719,65,22,15,15,15,15,BUS
100649.0,300375.0,0.19224745111597705,65,22,15,15,15,15,BUS
300376.0,300377.0,0.09080575266318248,65,22,15,15,15,15,BUS
300377.0,300376.0,0.09080575266318247,65,22,15,15,15,15,BUS
300377.0,103729.0,0.1357845139002328,65,22,15,15,15,15,BUS
103729.0,300377.0,0.1357845139002328,65,22,15,15,15,15,BUS
104434.0,300378.0,0.07459853188359535,65,22,15,15,15,15,BUS
300378.0,104434.0,0.07459853188359535,65,22,15,15,15,15,BUS
300378.0,300379.0,0.029300718379062448,65,22,15,15,15,15,BUS
300379.0,300378.0,0.029300718379062448,65,22,15,15,15,15,BUS
103473.0,300380.0,0.1260653311786785,65,22,15,15,15,15,BUS
300380.0,103473.0,0.12606533117867852,65,22,15,15,15,15,BUS
300380.0,103466.0,0.20191204332298235,65,22,15,15,15,15,BUS
103466.0,300380.0,0.20191204332298238,65,22,15,15,15,15,BUS
103565.0,300381.0,0.16213718397965715,65,22,15,15,15,15,BUS
300381.0,103565.0,0.16213718397965712,65,22,15,15,15,15,BUS
300381.0,300382.0,0.1369022870922304,65,22,15,15,15,15,BUS
300382.0,300381.0,0.13690228709223043,65,22,15,15,15,15,BUS
300382.0,300383.0,0.15942076967945462,65,22,15,15,15,15,BUS
300383.0,300382.0,0.15942076967945454,65,22,15,15,15,15,BUS
300383.0,300384.0,0.09826367768975851,65,22,15,15,15,15,BUS
300384.0,300383.0,0.09826367768975851,65,22,15,15,15,15,BUS
300384.0,300385.0,0.1355855032614094,65,22,15,15,15,15,BUS
300385.0,300384.0,0.13558550326140936,65,22,15,15,15,15,BUS
300385.0,300386.0,0.16150622160462827,65,22,15,15,15,15,BUS
300386.0,300385.0,0.1615062216046283,65,22,15,15,15,15,BUS
300386.0,300387.0,0.16581134075604234,65,22,15,15,15,15,BUS
300387.0,300386.0,0.1658113407560423,65,22,15,15,15,15,BUS
300387.0,300388.0,0.1701929660343309,65,22,15,15,15,15,BUS
300388.0,300387.0,0.17019296603433096,65,22,15,15,15,15,BUS
300388.0,300389.0,0.3141506253938476,65,22,15,15,15,15,BUS
300389.0,300388.0,0.3141506253938476,65,22,15,15,15,15,BUS
102690.0,300390.0,0.13655315252847258,65,22,15,15,15,15,BUS
300390.0,102690.0,0.13655315252847258,65,22,15,15,15,15,BUS
300390.0,300391.0,0.09360255108487829,65,22,15,15,15,15,BUS
300391.0,300390.0,0.0936025510848783,65,22,15,15,15,15,BUS
300391.0,300392.0,0.10392943817104826,65,22,15,15,15,15,BUS
300392.0,300391.0,0.10392943817104826,65,22,15,15,15,15,BUS
300392.0,104219.0,0.07097368507330488,65,22,15,15,15,15,BUS
104219.0,300392.0,0.07097368507330488,65,22,15,15,15,15,BUS
102438.0,300393.0,0.34049658059031407,65,22,15,15,15,15,BUS
300393.0,102438.0,0.34049658059031407,65,22,15,15,15,15,BUS
300298.0,300394.0,0.3469024405972149,65,22,15,15,15,15,BUS
300394.0,300298.0,0.3469024405972149,65,22,15,15,15,15,BUS
300395.0,300396.0,0.22571498205086424,65,22,15,15,15,15,BUS
300396.0,300395.0,0.22571498205086424,65,22,15,15,15,15,BUS
300396.0,101190.0,0.150757335905134,65,22,15,15,15,15,BUS
101190.0,300396.0,0.15075733590513396,65,22,15,15,15,15,BUS
300305.0,300397.0,0.12824438794013324,65,22,15,15,15,15,BUS
300397.0,300305.0,0.1282443879401332,65,22,15,15,15,15,BUS
300397.0,300398.0,0.08033638683912017,65,22,15,15,15,15,BUS
300398.0,300397.0,0.08033638683912016,65,22,15,15,15,15,BUS
300304.0,300399.0,0.24895062521104505,65,22,15,15,15,15,BUS
300399.0,300304.0,0.24895062521104502,65,22,15,15,15,15,BUS
300399.0,103498.0,0.4313432543779441,65,22,15,15,15,15,BUS
103498.0,300399.0,0.43134325437794396,65,22,15,15,15,15,BUS
103762.0,300376.0,0.23069197972553696,65,22,15,15,15,15,BUS
300376.0,103762.0,0.230691979725537,65,22,15,15,15,15,BUS
103902.0,100564.0,0.17918430927852497,65,22,15,15,15,15,BUS
100564.0,103902.0,0.17918430927852494,65,22,15,15,15,15,BUS
100564.0,100559.0,0.21085469970180074,65,22,15,15,15,15,BUS
100559.0,100564.0,0.2108546997018008,65,22,15,15,15,15,BUS
107323.0,300400.0,0.2833221180718976,65,22,15,15,15,15,BUS
300400.0,107323.0,0.2833221180718979,65,22,15,15,15,15,BUS
300400.0,300401.0,0.14074701966750183,65,22,15,15,15,15,BUS
300401.0,300400.0,0.1407470196675018,65,22,15,15,15,15,BUS
300401.0,300402.0,0.47851991478979017,65,22,15,15,15,15,BUS
300402.0,300401.0,0.47851991478978967,65,22,15,15,15,15,BUS
300402.0,300403.0,0.3320733562220299,65,22,15,15,15,15,BUS
300403.0,300402.0,0.3320733562220297,65,22,15,15,15,15,BUS
300403.0,100375.0,0.41949726470682125,65,22,15,15,15,15,BUS
100375.0,300403.0,0.41949726470682136,65,22,15,15,15,15,BUS
107327.0,300403.0,0.40083176999317705,65,22,15,15,15,15,BUS
300403.0,107327.0,0.40083176999317705,65,22,15,15,15,15,BUS
100726.0,300404.0,0.12454347433284889,65,22,15,15,15,15,BUS
300404.0,100726.0,0.12454347433284889,65,22,15,15,15,15,BUS
300404.0,300405.0,0.16258985874863088,65,22,15,15,15,15,BUS
300405.0,300404.0,0.16258985874863086,65,22,15,15,15,15,BUS
300405.0,300406.0,0.18004435016935957,65,22,15,15,15,15,BUS
